,CR,EV,PE,LA,CA,R^2
253,0.0,-0.0010000000000000009,0.089,0.0,0.0,0.2973390606327635
254,-0.266,0.042,0.148,0.34,0.0,0.7477798575036154
255,0.124,0.0,0.112,0.267,0.0,0.6064235130058839
256,0.12,-0.013,0.06,0.0,1.977,0.8671693967085312
257,0.127,0.092,0.028999999999999998,0.234,0.0,0.623471542011469
258,0.0,0.0,0.039,0.0,0.343,0.6291311031406766
259,-0.076,0.051,0.0,0.0,1.731,0.6358595640350422
260,-0.538,0.0,0.193,0.638,0.033,0.7183302362344103
261,-0.201,-0.13,0.0,0.0,0.056,0.39255643574596644
262,0.009,0.020999999999999998,-0.003,1.118,0.0,0.7310351387194551
263,0.143,0.0,0.081,0.492,0.0,0.6570589593224299
264,0.0,0.0,-0.058,0.8,0.0,0.6250118733878043
265,0.0,-0.28,-0.093,0.916,0.0,0.7200972160992607
266,0.13,0.193,0.16,0.272,0.0,0.7681146813359466
267,0.097,-0.029,0.154,0.0,0.214,0.825576951448669
268,0.167,0.0,0.106,0.812,0.0,0.7301278424277011
269,0.0,-0.08000000000000002,0.187,0.282,0.0,0.8792299464699964
270,0.267,0.0,0.202,0.479,0.0,0.48916043255587327
271,-0.034,0.046,0.033,0.19,-0.774,0.32324929628293464
272,0.155,0.218,0.201,0.524,0.056,0.9505866111397536
273,-0.029,0.0,-0.035,0.261,0.0,0.4144055062375379
274,-7.944,0.0,0.278,0.0,0.025,0.7509138948430385
275,0.0,-0.053,0.0,0.749,0.0,0.7282275735775272
276,0.0,0.0,0.064,0.0,0.558,0.36063096566008557
277,-0.346,0.0,0.0,0.0,0.217,0.7012741388733583
278,0.138,0.031,0.121,0.732,0.0,0.7007242553902783
279,0.151,0.129,0.086,0.624,0.0,0.6220546880413704
280,0.0,0.0,0.0,0.0,0.514,0.42180932870619636
281,-0.047,0.1,0.0,0.605,0.0,0.8897871308524866
282,-0.075,-0.129,0.214,0.0,-0.006,0.5243359965971579
283,0.196,-0.142,0.169,0.888,0.0,0.832757050459163
