,CR,EV,PE,R^2
219,-0.019,0.01,0.044000000000000004,0.6460023155078678
220,0.0,0.215,0.032,0.20748649362246074
221,0.0,0.236,0.0,0.42306761740823184
222,0.056,0.052,-0.006999999999999999,0.09943983370219545
223,0.048,-0.068,0.26599999999999996,0.19559908651854885
224,-0.287,0.0030000000000000027,0.127,0.3506615293990907
225,0.144,0.0,0.215,0.5655504792120738
226,0.193,0.192,0.122,0.6979707428905753
227,-0.055999999999999994,0.020999999999999998,0.057,0.5225047523499038
228,0.0,-0.031,0.019,0.2078375445163143
229,0.009000000000000008,-0.008,0.108,0.5997040805267189
230,0.036,0.03,0.09,0.27451560781130147
231,0.528,-0.3,-0.036,0.7662899365555238
232,0.202,-0.151,-0.035,0.47645388358179785
233,0.441,0.07,0.276,0.6997622596483223
234,0.036000000000000004,-0.16800000000000004,-0.049999999999999996,0.39214297001804443
235,-0.045,0.157,0.134,0.4435108402661869
236,-0.081,0.04,0.089,0.27541139770136147
237,-0.065,0.014999999999999993,0.017,0.13926073661590277
238,0.05299999999999999,0.05600000000000001,0.032,0.5091975177526513
239,-0.593,-0.13299999999999998,0.042,0.5686638110643563
240,0.138,0.028999999999999998,0.103,0.31864022890108856
241,0.035,0.103,0.013999999999999999,0.45518914072272776
242,0.286,0.211,0.22500000000000003,0.5990343242986009
243,0.281,-0.027,0.129,0.5872301611889623
244,0.08,-0.029,0.081,0.5150917050679902
245,-0.067,0.094,-0.351,0.5778238270299317
246,-0.34700000000000003,0.197,0.186,0.4145708629952528
247,0.28600000000000003,-0.258,0.0,0.4760063323779372
248,0.477,0.0,0.085,0.5723898327650079
249,0.167,0.03799999999999999,0.05800000000000001,0.41493742874509554
250,0.16799999999999998,-0.0020000000000000018,0.13,0.2943583645885167
251,-0.04300000000000001,0.217,0.288,0.5685049416060546
252,0.023999999999999994,-0.007000000000000003,-0.025,0.25466461598027135
253,0.010999999999999996,-0.0059999999999999915,0.097,0.3904555529662018
254,-0.32999999999999996,0.0,0.134,0.5821264683521274
255,0.144,0.013000000000000001,0.13,0.568744217765556
256,0.2,-0.029,0.07200000000000001,0.8163809674258724
257,0.192,0.108,0.033999999999999996,0.5858026137587198
258,0.0,0.026,0.051000000000000004,0.42039038361564784
259,-0.131,0.033,-0.044,0.5387000177895991
260,1.629,-0.084,0.233,0.3664830663959838
261,-0.226,-0.078,0.06799999999999999,0.3509261596261114
262,0.0,-0.008,0.01,0.1604366231045541
263,0.088,0.017,0.099,0.423683698969029
264,0.216,-0.05899999999999998,-0.092,0.31167571490387935
265,0.022000000000000006,-0.514,-0.208,0.37043971738592674
266,0.181,0.17,0.2,0.6895933921224197
267,0.089,-0.03,0.144,0.606994758887504
268,-0.079,-0.05700000000000001,0.087,0.3774474207406018
269,0.05,-0.073,0.22200000000000003,0.8683106029559297
270,0.20099999999999998,-0.054000000000000006,0.216,0.46576091633198047
271,-0.034,0.038000000000000006,0.036000000000000004,0.14851127471925452
272,0.085,0.094,0.527,0.7260237651058332
273,-0.026999999999999996,0.0,-0.04,0.37419485707500355
274,-1.589,0.109,0.291,0.4930212407857203
275,0.011999999999999997,-0.112,-0.017,0.5207221105588253
276,0.14,-0.062,0.093,0.20159407733064683
277,-0.382,0.135,0.223,0.5968455159140238
278,0.034,-0.017999999999999995,0.137,0.3718757604785382
279,0.01200000000000001,0.16,0.089,0.3807481445469718
280,0.11900000000000001,0.0,0.08,0.24513276876987766
281,-0.054,0.1,0.012,0.6897706162802271
282,-0.06899999999999999,-0.175,0.205,0.4290447123336337
283,0.371,-0.04400000000000001,0.29,0.6545890636970622
284,-0.739,0.10300000000000001,0.40700000000000003,0.7126131880624345
285,-0.07100000000000001,-0.031,0.0,0.14066937776301625
